Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	MeSH_cos_sim	Year_Diff	MeSH_cos_dist	Diffusion_Z_MeSH
20299739	11777997	2010.0	2002.0	0.33281133	8.0	0.66718867	2.0794542217716416
19238541	11777997	2010.0	2002.0	0.34951806	8.0	0.6504819399999999	1.9700998102012264
20638620	11777997	2010.0	2002.0	0.48521554	8.0	0.51478446	1.0818878095890143
20013794	11777997	2010.0	2002.0	0.640852	8.0	0.359148	0.0631646062929576
20102397	11777997	2010.0	2002.0	0.45753112	8.0	0.5424688799999999	1.263097026399737
20378071	11777997	2010.0	2002.0	0.5080765	8.0	0.4919234999999999	0.9322506975548353
20967718	11777997	2010.0	2002.0	0.5870467	8.0	0.4129532999999999	0.4153488410815494
20028494	11777997	2010.0	2002.0	0.4837779	8.0	0.5162221	1.0912979261258886
20800644	11777997	2010.0	2002.0	0.63548887	8.0	0.36451113	0.0982691375402834
20109058	11777997	2010.0	2002.0	0.4262584	8.0	0.5737416	1.4677935704754677
20228724	11777997	2010.0	2002.0	0.51836497	8.0	0.4816350299999999	0.8649072028787459
20687781	11777997	2010.0	2002.0	0.54210144	8.0	0.4578985599999999	0.7095394133945803
20214939	11777997	2010.0	2002.0	0.5958725	8.0	0.4041275	0.357579297571948
20014925	11777997	2010.0	2002.0	0.5689306	8.0	0.4310694	0.5339283270402495
20410290	11777997	2010.0	2002.0	0.58201474	8.0	0.41798526	0.4482856889773297
20059339	11777997	2010.0	2002.0	0.62839407	8.0	0.37160593	0.1447083676714803
20352151	11777997	2010.0	2002.0	0.45617157	8.0	0.54382843	1.2719960024561268
20578234	11777997	2010.0	2002.0	0.5689887	8.0	0.4310113	0.5335480317154164
20404540	11777997	2010.0	2002.0	0.5251205	8.0	0.4748795	0.820688674896533
20680813	11777997	2010.0	2002.0	0.53032374	8.0	0.4696762599999999	0.7866307085285095
20680817	11777997	2010.0	2002.0	0.5917197	8.0	0.4082803	0.384761576831242
20670189	11777997	2010.0	2002.0	0.5324346	8.0	0.4675654	0.7728140099161827
20584315	11777997	2010.0	2002.0	0.3092283	8.0	0.6907717	2.233817665048538
20930032	11777997	2010.0	2002.0	0.28854337	8.0	0.71145663	2.369211506244584
20008042	11777997	2010.0	2002.0	0.39244202	8.0	0.6075579799999999	1.6891397187846535
20336144	11777997	2010.0	2002.0	0.44664168	8.0	0.5533583200000001	1.3343741885691949
20668107	11777997	2010.0	2002.0	0.5526928	8.0	0.4473072	0.6402133429708398
19560469	11777997	2010.0	2002.0	0.36764094	8.0	0.63235906	1.8514759455454128
19895889	11777997	2010.0	2002.0	0.39906707	8.0	0.6009329299999999	1.6457752516283295
21106945	11777997	2010.0	2002.0	0.6078162	8.0	0.3921837999999999	0.2794014443670685
20859204	11777997	2010.0	2002.0	0.56338656	8.0	0.43661344	0.5702170102189946
20842469	11777997	2010.0	2002.0	0.5394624	8.0	0.4605376	0.7268133303316943
21050418	11777997	2010.0	2002.0	0.52680486	8.0	0.4731951399999999	0.8096636450628821
19941452	11777997	2010.0	2002.0	0.52888113	8.0	0.4711188699999999	0.7960733563522067
19951966	11777997	2010.0	2002.0	0.59397167	8.0	0.40602833	0.3700212384033016
20563360	11777997	2010.0	2002.0	0.50162077	8.0	0.4983792299999999	0.9745068754787898
19875689	11777997	2010.0	2002.0	0.5405651	8.0	0.4594349	0.7195955737965316
20556805	11777997	2010.0	2002.0	0.54505634	8.0	0.4549436599999999	0.6901980251786088
20528755	11777997	2010.0	2002.0	0.59350216	8.0	0.40649784	0.3730944304508429
25619752	11777997	2015.0	2002.0	0.46095926	13.0	0.53904074	1.361325464831827
25813284	11777997	2015.0	2002.0	0.4705868	13.0	0.5294132	1.2907771775933503
26070113	11777997	2015.0	2002.0	0.5834587	13.0	0.4165413	0.4636791626951901
26270808	11777997	2015.0	2002.0	0.4260972	13.0	0.5739027999999999	1.6167862183166224
26265085	11777997	2015.0	2002.0	0.32485348	13.0	0.67514652	2.3586757393834703
26371341	11777997	2015.0	2002.0	0.47223428	13.0	0.52776572	1.2787048421619058
26371367	11777997	2015.0	2002.0	0.47290167	13.0	0.5270983300000001	1.27381436947417
25633820	11777997	2015.0	2002.0	0.5593276	13.0	0.4406723999999999	0.6405060337526363
26314416	11777997	2015.0	2002.0	0.4638971	13.0	0.5361028999999999	1.3397976830536478
26018921	11777997	2015.0	2002.0	0.2766053	13.0	0.7233947000000001	2.7122267463254035
26743269	11777997	2015.0	2002.0	0.55824685	13.0	0.44175315	0.6484255086582704
26338480	11777997	2015.0	2002.0	0.55037475	13.0	0.44962525	0.7061103556669569
25656611	11777997	2015.0	2002.0	0.37520146	13.0	0.62479854	1.989737905324398
26474484	11777997	2015.0	2002.0	0.4608731	13.0	0.5391269000000001	1.361956824496754
24747545	11777997	2015.0	2002.0	0.569991	13.0	0.430009	0.5623672146837181
25889431	11777997	2015.0	2002.0	0.44512132	13.0	0.5548786800000001	1.4773820629229035
24992980	11777997	2015.0	2002.0	0.48446628	13.0	0.51553372	1.189071701245218
