Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	MeSH_cos_sim	Year_Diff	MeSH_cos_dist	Diffusion_Z_MeSH
11845786	11015443	2001.0	2000.0	0.77603894	1.0	0.22396106	-0.7543568322625658
11468180	11015443	2001.0	2000.0	0.4695729	1.0	0.5304271	1.70492651478446
11466340	11015443	2001.0	2000.0	0.78420454	1.0	0.21579546	-0.8198829313326199
11209085	11015443	2001.0	2000.0	0.5274285	1.0	0.4725715	1.240655453581679
11831870	11015443	2001.0	2000.0	0.76844627	1.0	0.23155373	-0.6934282971119061
11438696	11015443	2001.0	2000.0	0.6037903	1.0	0.3962097	0.6278785759526416
11369203	11015443	2001.0	2000.0	0.6395693	1.0	0.3604307	0.34076454898249
11513539	11015443	2001.0	2000.0	0.76916367	1.0	0.23083633	-0.6991851825181048
11511400	11015443	2001.0	2000.0	0.69769007	1.0	0.3023099299999999	-0.1256344092138258
11905831	11015443	2001.0	2000.0	0.8575183	1.0	0.1424817	-1.40820034841871
11567632	11015443	2001.0	2000.0	0.6734522	1.0	0.3265478	0.068866064831817
11274928	11015443	2001.0	2000.0	0.897398	1.0	0.1026019999999999	-1.7282210661962212
11696598	11015443	2001.0	2000.0	0.70926464	1.0	0.29073536	-0.2185163065040768
11313397	11015443	2001.0	2000.0	0.63640887	1.0	0.36359113	0.3661259001733359
11745385	11015443	2001.0	2000.0	0.63273054	1.0	0.36726946	0.3956432186793068
11698646	11015443	2001.0	2000.0	0.7391974	1.0	0.2608026	-0.458716291465397
11698420	11015443	2001.0	2000.0	0.7001729	1.0	0.2998271	-0.1455582561514787
11323285	11015443	2001.0	2000.0	0.738102	1.0	0.2618979999999999	-0.4499260875708473
11500834	11015443	2001.0	2000.0	0.55308145	1.0	0.44691855	1.034799454862767
11228420	11015443	2001.0	2000.0	0.72149324	1.0	0.2785067599999999	-0.3166465669978638
11224518	11015443	2001.0	2000.0	0.8428917	1.0	0.1571082999999999	-1.2908269722236907
11224528	11015443	2001.0	2000.0	0.8680626	1.0	0.1319373999999999	-1.492814687404746
11224527	11015443	2001.0	2000.0	0.85112405	1.0	0.1488759499999999	-1.3568887168204575
11285307	11015443	2001.0	2000.0	0.8087417	1.0	0.1912583	-1.0167851035009572
11283156	11015443	2001.0	2000.0	0.88311046	1.0	0.1168895399999999	-1.6135685285373398
11238124	11015443	2001.0	2000.0	0.8055299	1.0	0.1944700999999999	-0.9910115259324748
11237003	11015443	2001.0	2000.0	0.739804	1.0	0.260196	-0.463584045420513
18173375	11015443	2008.0	2000.0	0.79473567	8.0	0.20526433	-1.0134414017935856
17868872	11015443	2008.0	2000.0	0.62434375	8.0	0.37565625	0.3069839103482955
18094175	11015443	2008.0	2000.0	0.5672403	8.0	0.4327596999999999	0.7494980905431557
17981268	11015443	2008.0	2000.0	0.73312026	8.0	0.26687974	-0.5359624991437415
18941206	11015443	2008.0	2000.0	0.5108893	8.0	0.4891107	1.1861812781292054
18941172	11015443	2008.0	2000.0	0.71301967	8.0	0.28698033	-0.380196146930644
