Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
20299739	11777997	2010.0	2002.0	0.5209785	8.0	0.4790215	0.3928584381553012
19238541	11777997	2010.0	2002.0	0.4627713	8.0	0.5372287	0.7426534126192303
20638620	11777997	2010.0	2002.0	0.38727102	8.0	0.61272898	1.196370796630478
20013794	11777997	2010.0	2002.0	0.5936386	8.0	0.4063614	-0.0437909424032299
20102397	11777997	2010.0	2002.0	0.51045126	8.0	0.48954874	0.456121671002366
20378071	11777997	2010.0	2002.0	0.43920216	8.0	0.56079784	0.8842916760030861
20967718	11777997	2010.0	2002.0	0.60327995	8.0	0.39672005	-0.1017304374665176
20028494	11777997	2010.0	2002.0	0.46403685	8.0	0.5359631499999999	0.7350481158529738
20800644	11777997	2010.0	2002.0	0.5324623	8.0	0.4675376999999999	0.3238467776090306
20109058	11777997	2010.0	2002.0	0.30029592	8.0	0.6997040800000001	1.7190458760621927
20228724	11777997	2010.0	2002.0	0.50807893	8.0	0.4919210699999999	0.4703781394765408
20687781	11777997	2010.0	2002.0	0.5022671	8.0	0.4977329	0.5053042126502842
20214939	11777997	2010.0	2002.0	0.512529	8.0	0.487471	0.443635535090611
20014925	11777997	2010.0	2002.0	0.50160474	8.0	0.49839526	0.5092846514840698
20410290	11777997	2010.0	2002.0	0.47758964	8.0	0.5224103600000001	0.6536029023404711
20059339	11777997	2010.0	2002.0	0.6512957	8.0	0.3487042999999999	-0.3902801022007157
20352151	11777997	2010.0	2002.0	0.51417357	8.0	0.48582643	0.4337525254087482
20578234	11777997	2010.0	2002.0	0.67675716	8.0	0.32324284	-0.5432902238096289
20404540	11777997	2010.0	2002.0	0.30902964	8.0	0.69097036	1.6665607648667542
20680813	11777997	2010.0	2002.0	0.57053304	8.0	0.4294669599999999	0.0950614464794988
20680817	11777997	2010.0	2002.0	0.49329743	8.0	0.5067025700000001	0.5592072605309568
20670189	11777997	2010.0	2002.0	0.65181255	8.0	0.3481874499999999	-0.3933861016741775
20584315	11777997	2010.0	2002.0	0.36762953	8.0	0.63237047	1.3144059279026148
20930032	11777997	2010.0	2002.0	0.3859207	8.0	0.6140793	1.2044855169729465
20008042	11777997	2010.0	2002.0	0.58150554	8.0	0.41849446	0.0291224327955311
20336144	11777997	2010.0	2002.0	0.57845056	8.0	0.42154944	0.0474812724423073
20668107	11777997	2010.0	2002.0	0.55599105	8.0	0.4440089499999999	0.1824512371017021
19560469	11777997	2010.0	2002.0	0.6022462	8.0	0.3977538	-0.0955181380456194
19895889	11777997	2010.0	2002.0	0.3945652	8.0	0.6054348	1.1525365715374434
21106945	11777997	2010.0	2002.0	0.5985011	8.0	0.4014989	-0.0730120364144665
20859204	11777997	2010.0	2002.0	0.62442136	8.0	0.3755786399999999	-0.2287793072125536
20842469	11777997	2010.0	2002.0	0.5024921	8.0	0.4975079	0.5039520797654453
21050418	11777997	2010.0	2002.0	0.5278298	8.0	0.4721702	0.3516856913379879
19941452	11777997	2010.0	2002.0	0.5803007	8.0	0.4196993	0.0363628940620603
19951966	11777997	2010.0	2002.0	0.51343125	8.0	0.48656875	0.4382134822224078
20563360	11777997	2010.0	2002.0	0.3615251	8.0	0.6384749000000001	1.3510903747745977
19875689	11777997	2010.0	2002.0	0.34556377	8.0	0.65443623	1.447009660013542
20556805	11777997	2010.0	2002.0	0.5351774	8.0	0.4648226	0.3075304398506948
20528755	11777997	2010.0	2002.0	0.5106649	8.0	0.4893351	0.4548378058045128
25619752	11777997	2015.0	2002.0	0.8639719	13.0	0.1360280999999999	-1.9609009731466625
25813284	11777997	2015.0	2002.0	0.4382306	13.0	0.5617694	0.8543751746157415
26070113	11777997	2015.0	2002.0	0.4130934	13.0	0.5869066000000001	1.0205985585851458
26270808	11777997	2015.0	2002.0	0.52588683	13.0	0.47411317	0.2747356293760025
26265085	11777997	2015.0	2002.0	0.49595654	13.0	0.50404346	0.4726540167455428
26371341	11777997	2015.0	2002.0	0.621871	13.0	0.378129	-0.3599736280152149
26371367	11777997	2015.0	2002.0	0.24643998	13.0	0.75356002	2.1226184900999643
25633820	11777997	2015.0	2002.0	0.57025313	13.0	0.42974687	-0.0186429696804457
26314416	11777997	2015.0	2002.0	0.38847992	13.0	0.61152008	1.1833587680302404
26018921	11777997	2015.0	2002.0	0.32040396	13.0	0.6795960400000001	1.6335209355813511
26743269	11777997	2015.0	2002.0	0.49742383	13.0	0.50257617	0.4629513486256064
26338480	11777997	2015.0	2002.0	0.6495082	13.0	0.3504918	-0.5427286248899348
25656611	11777997	2015.0	2002.0	0.3859292	13.0	0.6140708	1.2002257742981794
26474484	11777997	2015.0	2002.0	0.6729552	13.0	0.3270448	-0.6977753160063125
24747545	11777997	2015.0	2002.0	0.44153887	13.0	0.55846113	0.8324987590052336
25889431	11777997	2015.0	2002.0	0.853713	13.0	0.1462869999999999	-1.893062507692924
24992980	11777997	2015.0	2002.0	0.5568115	13.0	0.4431885	0.0702417599101472
25552694	11777997	2015.0	2002.0	0.8707443	13.0	0.1292556999999999	-2.005684451242648
25575564	11777997	2015.0	2002.0	0.7347027	13.0	0.2652972999999999	-1.1060896231547128
25861640	11777997	2015.0	2002.0	0.56918997	13.0	0.4308100299999999	-0.0116126698498797
25523899	11777997	2015.0	2002.0	0.652896	13.0	0.3471039999999999	-0.5651309441701869
25727843	11777997	2015.0	2002.0	0.8080265	13.0	0.1919735	-1.590953894493436
25769705	11777997	2015.0	2002.0	0.40035167	13.0	0.59964833	1.104855097826766
